Dalvik/1.8.0(Linux; U; Android 8.0;Xperia 5 II Build/FC5AP4GD)[FBAN/FB4A;FBAV/93.0.0.59.91FBBV/4840766FBDM={density=3.0,width=781,height=861}FBLC/ja_JPFBRV/1973734FBCR/Boost MobileFBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 5 IIFBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 8.0;CPH2099 Build/QT0WKR2Q)[FBAN/FB4A;FBAV/102.0.0.13.16FBBV/5420435FBDM={density=3.0,width=958,height=1874}FBLC/fr_FRFBRV/7312583FBCR/O2FBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2099FBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 11.0;V2027 Build/B2JS3H8Q)[FBAN/FB4A;FBAV/96.0.0.73.88FBBV/1892326FBDM={density=3.0,width=693,height=905}FBLC/de_DEFBRV/3995832FBCR/TelecomFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2027FBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 8.0;Xperia 10 Build/QWEKYXKP)[FBAN/FB4A;FBAV/96.0.0.72.85FBBV/5437748FBDM={density=3.0,width=732,height=1898}FBLC/en_USFBRV/9351287FBCR/VerizonFBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 10FBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 9.0;Moto G Play Build/GJG2I043)[FBAN/FB4A;FBAV/89.0.0.64.58FBBV/2480191FBDM={density=3.0,width=650,height=724}FBLC/zh_CNFBRV/455667FBCR/O2FBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G PlayFBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 5.0;Pixel 4a Build/BWAMNUZZ)[FBAN/FB4A;FBAV/94.0.0.54.4FBBV/5057373FBDM={density=3.0,width=859,height=1363}FBLC/en_USFBRV/9305958FBCR/VodafoneFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 4aFBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 11.0;V2007 Build/Q7VR5MIH)[FBAN/FB4A;FBAV/116.0.0.81.94FBBV/9775567FBDM={density=3.0,width=904,height=1468}FBLC/pt_BRFBRV/6510176FBCR/SprintFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2007FBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 7.0;Pixel 5a Build/Z9WVS8OS)[FBAN/FB4A;FBAV/119.0.0.87.27FBBV/1730917FBDM={density=3.0,width=479,height=1642}FBLC/it_ITFBRV/3275704FBCR/SprintFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 5aFBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 4.2.2;Moto G Fast Build/SMK7NME7)[FBAN/FB4A;FBAV/92.0.0.16.12FBBV/3874538FBDM={density=3.0,width=743,height=855}FBLC/zh_TWFBRV/1984848FBCR/SprintFBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G FastFBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 9.0;CPH2147 Build/TYEZAWE7)[FBAN/FB4A;FBAV/105.0.0.49.9FBBV/7492949FBDM={density=3.0,width=361,height=1227}FBLC/es_ESFBRV/91026FBCR/VodafoneFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2147FBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 4.2.2;Pixel 6 Pro Build/WQGTWWJS)[FBAN/FB4A;FBAV/93.0.0.84.12FBBV/9983268FBDM={density=3.0,width=379,height=675}FBLC/ko_KRFBRV/4247953FBCR/AT&TFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 6 ProFBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 5.0;Pixel 6 Build/FSC8P09U)[FBAN/FB4A;FBAV/117.0.0.45.96FBBV/769134FBDM={density=3.0,width=880,height=1355}FBLC/ja_JPFBRV/4930140FBCR/Boost MobileFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 6FBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 6.0;LM-G820 Build/6G7EYYF8)[FBAN/FB4A;FBAV/89.0.0.74.56FBBV/1219815FBDM={density=3.0,width=561,height=1385}FBLC/ja_JPFBRV/7245527FBCR/VodafoneFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-G820FBSV/6.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 11.0;SM-N975F Build/0K0Y20IC)[FBAN/FB4A;FBAV/87.0.0.32.70FBBV/8847771FBDM={density=3.0,width=492,height=1044}FBLC/es_ESFBRV/2672373FBCR/VerizonFBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-N975FFBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 8.0;CPH2171 Build/OQCC6578)[FBAN/FB4A;FBAV/103.0.0.95.79FBBV/8193071FBDM={density=3.0,width=447,height=1342}FBLC/it_ITFBRV/9185671FBCR/OrangeFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2171FBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 5.0;Moto G Fast Build/WNQ8Y36A)[FBAN/FB4A;FBAV/104.0.0.45.17FBBV/9735006FBDM={density=3.0,width=988,height=1645}FBLC/pt_BRFBRV/7860847FBCR/O2FBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G FastFBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 8.0;SM-A127F Build/A3F4KELV)[FBAN/FB4A;FBAV/110.0.0.10.71FBBV/6448982FBDM={density=3.0,width=362,height=991}FBLC/es_ESFBRV/1493205FBCR/TelecomFBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-A127FFBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 6.0;LM-G820 Build/Q1PHMFLQ)[FBAN/FB4A;FBAV/102.0.0.38.64FBBV/7489700FBDM={density=3.0,width=559,height=908}FBLC/ko_KRFBRV/5449464FBCR/VodafoneFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-G820FBSV/6.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 11.0;Mi 9T Build/O87I55ML)[FBAN/FB4A;FBAV/113.0.0.78.73FBBV/6343359FBDM={density=3.0,width=874,height=1381}FBLC/es_ESFBRV/3943498FBCR/VodafoneFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Mi 9TFBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 9.0;Pixel 4a Build/0Z3DJ8XP)[FBAN/FB4A;FBAV/94.0.0.76.27FBBV/6876491FBDM={density=3.0,width=694,height=1826}FBLC/fr_FRFBRV/2260164FBCR/VodafoneFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 4aFBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 12.0;Xperia 10 Build/Q6X0GP0Z)[FBAN/FB4A;FBAV/89.0.0.78.34FBBV/2511339FBDM={density=3.0,width=474,height=1645}FBLC/pt_BRFBRV/9792630FBCR/AT&TFBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 10FBSV/12.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 12.0;V2072 Build/3TGY0EXQ)[FBAN/FB4A;FBAV/112.0.0.30.40FBBV/6497072FBDM={density=3.0,width=801,height=1053}FBLC/pt_BRFBRV/8958201FBCR/SprintFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2072FBSV/12.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 10.0;Poco X3 NFC Build/HX99NASS)[FBAN/FB4A;FBAV/102.0.0.84.79FBBV/7442775FBDM={density=3.0,width=546,height=1238}FBLC/de_DEFBRV/8145252FBCR/T-MobileFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Poco X3 NFCFBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 10.0;Mi 9T Build/X8VWKB5C)[FBAN/FB4A;FBAV/113.0.0.50.79FBBV/9403628FBDM={density=3.0,width=732,height=731}FBLC/ko_KRFBRV/8707120FBCR/Boost MobileFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Mi 9TFBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 8.0;SM-G973F Build/HDWI32V0)[FBAN/FB4A;FBAV/119.0.0.72.56FBBV/1240932FBDM={density=3.0,width=454,height=1770}FBLC/pt_BRFBRV/4758183FBCR/SprintFBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-G973FFBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 4.2.2;Pixel 4a Build/QCAVRD04)[FBAN/FB4A;FBAV/120.0.0.77.15FBBV/1553771FBDM={density=3.0,width=374,height=944}FBLC/zh_CNFBRV/5757846FBCR/OrangeFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 4aFBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 8.0;Xperia 1 II Build/J4MHOYMY)[FBAN/FB4A;FBAV/80.0.0.89.61FBBV/6637746FBDM={density=3.0,width=459,height=1876}FBLC/zh_TWFBRV/9446108FBCR/Boost MobileFBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 1 IIFBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 7.0;Pixel 6 Pro Build/X0Y2IUOE)[FBAN/FB4A;FBAV/96.0.0.65.3FBBV/7008527FBDM={density=3.0,width=791,height=1177}FBLC/en_USFBRV/7863986FBCR/SprintFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 6 ProFBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 7.0;V2010 Build/QGX2Q4Q6)[FBAN/FB4A;FBAV/107.0.0.56.90FBBV/3804437FBDM={density=3.0,width=655,height=1870}FBLC/zh_TWFBRV/1041120FBCR/AT&TFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2010FBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 4.2.2;LM-X410 Build/L04HQ77P)[FBAN/FB4A;FBAV/116.0.0.7.7FBBV/7111943FBDM={density=3.0,width=940,height=1887}FBLC/en_USFBRV/2832480FBCR/O2FBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-X410FBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 10.0;LM-G820 Build/XKUVNE54)[FBAN/FB4A;FBAV/91.0.0.63.4FBBV/6232673FBDM={density=3.0,width=760,height=1569}FBLC/it_ITFBRV/2744196FBCR/T-MobileFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-G820FBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 11.0;CPH2147 Build/TDGGQ7SB)[FBAN/FB4A;FBAV/84.0.0.48.37FBBV/3010488FBDM={density=3.0,width=931,height=945}FBLC/en_USFBRV/2377147FBCR/T-MobileFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2147FBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 11.0;CPH2099 Build/HQWJD0VR)[FBAN/FB4A;FBAV/94.0.0.45.91FBBV/4194773FBDM={density=3.0,width=522,height=702}FBLC/ja_JPFBRV/3610086FBCR/OrangeFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2099FBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 9.0;Moto G Play Build/TRYUTRU0)[FBAN/FB4A;FBAV/109.0.0.96.68FBBV/5025656FBDM={density=3.0,width=1045,height=1716}FBLC/de_DEFBRV/3807153FBCR/AT&TFBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G PlayFBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 6.0;V2027 Build/YIT9X4OB)[FBAN/FB4A;FBAV/103.0.0.31.64FBBV/1136954FBDM={density=3.0,width=689,height=1524}FBLC/ko_KRFBRV/8271150FBCR/TelecomFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2027FBSV/6.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 8.0;V2072 Build/I7T3RPGU)[FBAN/FB4A;FBAV/105.0.0.12.27FBBV/1349282FBDM={density=3.0,width=848,height=1351}FBLC/zh_CNFBRV/8035579FBCR/T-MobileFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2072FBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 5.0;V2007 Build/Z857NZBM)[FBAN/FB4A;FBAV/80.0.0.15.80FBBV/8121194FBDM={density=3.0,width=658,height=1399}FBLC/pt_BRFBRV/4558629FBCR/AT&TFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2007FBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 11.0;CPH2127 Build/BEPZKHL0)[FBAN/FB4A;FBAV/82.0.0.88.57FBBV/5268144FBDM={density=3.0,width=418,height=1570}FBLC/de_DEFBRV/1204565FBCR/AT&TFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2127FBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 11.0;Xperia 10 Build/YM75Q7UN)[FBAN/FB4A;FBAV/115.0.0.62.8FBBV/4302598FBDM={density=3.0,width=860,height=1358}FBLC/ja_JPFBRV/4590043FBCR/Boost MobileFBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 10FBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 10.0;ASUS_Z012 Build/EOWBWKA0)[FBAN/FB4A;FBAV/82.0.0.81.19FBBV/8601673FBDM={density=3.0,width=800,height=1571}FBLC/ja_JPFBRV/44458FBCR/Boost MobileFBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z012FBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 4.2.2;V2007 Build/MP497M1F)[FBAN/FB4A;FBAV/83.0.0.1.60FBBV/9395972FBDM={density=3.0,width=364,height=1589}FBLC/ko_KRFBRV/8839922FBCR/SprintFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2007FBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 9.0;ASUS_Z012 Build/CH9EIRYS)[FBAN/FB4A;FBAV/103.0.0.13.39FBBV/9244838FBDM={density=3.0,width=471,height=1645}FBLC/zh_CNFBRV/3874168FBCR/OrangeFBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z012FBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 9.0;Xperia 1 II Build/KYI27PZX)[FBAN/FB4A;FBAV/117.0.0.8.96FBBV/613762FBDM={density=3.0,width=431,height=1759}FBLC/zh_TWFBRV/9615955FBCR/O2FBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 1 IIFBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 4.2.2;Poco X3 NFC Build/1LONF0ON)[FBAN/FB4A;FBAV/116.0.0.98.3FBBV/3026352FBDM={density=3.0,width=937,height=1201}FBLC/it_ITFBRV/382392FBCR/TelecomFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Poco X3 NFCFBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 9.0;Redmi Note 9 Pro Build/LJWQNWED)[FBAN/FB4A;FBAV/94.0.0.44.61FBBV/8640647FBDM={density=3.0,width=507,height=1071}FBLC/it_ITFBRV/9691566FBCR/OrangeFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Redmi Note 9 ProFBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 10.0;Nova 5T Build/MDHXAN84)[FBAN/FB4A;FBAV/106.0.0.10.64FBBV/5451678FBDM={density=3.0,width=442,height=663}FBLC/ko_KRFBRV/2599693FBCR/OrangeFBMF/HuaweiFBBD/HuaweiFBPN/com.facebook.katanaFBDV/Nova 5TFBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 12.0;V2007 Build/ZRV1D1GO)[FBAN/FB4A;FBAV/90.0.0.17.99FBBV/2330650FBDM={density=3.0,width=743,height=1597}FBLC/ko_KRFBRV/1398844FBCR/TelecomFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2007FBSV/12.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 6.0;Mi 9T Build/EZJOGP4V)[FBAN/FB4A;FBAV/91.0.0.53.19FBBV/2281452FBDM={density=3.0,width=1004,height=948}FBLC/it_ITFBRV/955578FBCR/Boost MobileFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Mi 9TFBSV/6.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 10.0;Poco X3 NFC Build/IKT3UL6F)[FBAN/FB4A;FBAV/111.0.0.70.50FBBV/7237060FBDM={density=3.0,width=1047,height=696}FBLC/zh_CNFBRV/1467209FBCR/OrangeFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Poco X3 NFCFBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 5.0;CPH2147 Build/5XZFM3U7)[FBAN/FB4A;FBAV/88.0.0.82.72FBBV/3964558FBDM={density=3.0,width=597,height=1018}FBLC/es_ESFBRV/8722568FBCR/O2FBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2147FBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 9.0;SM-A127F Build/BOI2G00V)[FBAN/FB4A;FBAV/97.0.0.8.88FBBV/3062268FBDM={density=3.0,width=543,height=1760}FBLC/fr_FRFBRV/4344971FBCR/VerizonFBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-A127FFBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 12.0;SM-N975F Build/1ULVUIJI)[FBAN/FB4A;FBAV/114.0.0.40.38FBBV/4985584FBDM={density=3.0,width=425,height=1664}FBLC/zh_TWFBRV/3600724FBCR/VodafoneFBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-N975FFBSV/12.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 4.2.2;Pixel 4a Build/9PSCTXOU)[FBAN/FB4A;FBAV/83.0.0.81.88FBBV/6121957FBDM={density=3.0,width=506,height=1538}FBLC/es_ESFBRV/4936748FBCR/AT&TFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 4aFBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 10.0;SM-G973F Build/6LC1BRUN)[FBAN/FB4A;FBAV/84.0.0.3.35FBBV/3451171FBDM={density=3.0,width=719,height=971}FBLC/fr_FRFBRV/1913567FBCR/Boost MobileFBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-G973FFBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 8.0;Xperia 1 II Build/O5Q48259)[FBAN/FB4A;FBAV/115.0.0.2.11FBBV/7474104FBDM={density=3.0,width=953,height=1828}FBLC/en_USFBRV/1735859FBCR/Boost MobileFBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 1 IIFBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 10.0;ASUS_Z012 Build/99XH5NYT)[FBAN/FB4A;FBAV/105.0.0.20.26FBBV/3590179FBDM={density=3.0,width=624,height=1113}FBLC/it_ITFBRV/5327298FBCR/SprintFBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z012FBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 12.0;Pixel 5a Build/UFWEQZOB)[FBAN/FB4A;FBAV/90.0.0.35.34FBBV/6149036FBDM={density=3.0,width=398,height=1868}FBLC/it_ITFBRV/450988FBCR/SprintFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 5aFBSV/12.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 9.0;CPH2147 Build/JZNOGFXG)[FBAN/FB4A;FBAV/106.0.0.48.35FBBV/2255139FBDM={density=3.0,width=885,height=1692}FBLC/es_ESFBRV/4913079FBCR/O2FBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2147FBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 9.0;V2010 Build/7NP27XPP)[FBAN/FB4A;FBAV/118.0.0.1.8FBBV/6601730FBDM={density=3.0,width=939,height=1729}FBLC/ja_JPFBRV/6257680FBCR/VerizonFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2010FBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 5.0;V2007 Build/02T61P6M)[FBAN/FB4A;FBAV/87.0.0.8.20FBBV/1870766FBDM={density=3.0,width=563,height=757}FBLC/fr_FRFBRV/7928248FBCR/SprintFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2007FBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 9.0;LM-G820 Build/ACNHOKTT)[FBAN/FB4A;FBAV/111.0.0.70.93FBBV/4949443FBDM={density=3.0,width=946,height=1866}FBLC/pt_BRFBRV/6216244FBCR/VerizonFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-G820FBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 9.0;SM-A127F Build/397JR2JY)[FBAN/FB4A;FBAV/111.0.0.62.53FBBV/6231478FBDM={density=3.0,width=690,height=1410}FBLC/ja_JPFBRV/5716699FBCR/VerizonFBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-A127FFBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 10.0;Redmi Note 9 Pro Build/IBMB362G)[FBAN/FB4A;FBAV/108.0.0.93.99FBBV/5956020FBDM={density=3.0,width=840,height=1203}FBLC/zh_TWFBRV/2498384FBCR/VodafoneFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Redmi Note 9 ProFBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
